Section,Author,Type,Comment,Referenced Text,Materiality Rationale
3.6.2. Inclusive Participation,Robert Parkhurst,Question,How do you prevent discrimination and reduce barriers? Do you provide additional support to underserved producers? Are you agnostic to size of project? Do you provide discounts for underserved projects? Do small projects get a rebate? Can you aggregate small projects? Tell me more!!,preventing discrimination and reducing barriers ,Material operational or compliance change affecting implementation.
3.7.1. Feedback Integration,Robert Parkhurst,Question,How often?,"Designing, maintaining, and updating regular processes and procedures for soliciting feedback from members and key stakeholders to refine procedures and enhance platform functionality.",Material operational or compliance change affecting implementation.
4.1.1. Commercial Relationships,Bob Lawrence,Suggestion,The commercial agreements should clearly define the services provided and ensure that the registration and management of SSIDs is aligned with those services.,,"Strengthens data security, integrity, or operational resilience."
4.1.3. SSID Requests,Bob Lawrence,Suggestion,"SSID requests may include requests for ex-ante requests for ex-ante EACs if such EACs if such EACs and projections and projections are supported are supported by sufficient by sufficient documentation and are in accordance with and are in accordance with underlying standards underlying standards , protocols, and methodologies.",,Introduces or modifies core operational procedures.
4.2.3. Local Working Instructions,Robert Parkhurst,Question,I assume crop rotations are not an issue? Should you clarify? How are the historic EACs handled? Is that a concern?,"(ii) ', 'Common land cover, management practice, or operational facility; The registration of a Source may expire after a defined period from the date of its initial registration, as specified in the commercial agreement/s between a Custodian and ', 'Land Owner', ' and Operator. ",Material operational or compliance change affecting implementation.
4.2.5. Unified Entity Requirements,Robert Parkhurst,Suggestion,This is very helpful. I recommend it be echoed in other places in the document related to record retention.,['Administration upon request and maintain these records for a minimum period of three years following SSID expiration'],Material operational or compliance change affecting implementation.
4.4.1 Grounds for Suspension or Termination,Steve Francis,Suggestion,4.4.1(d) seems not sufficiently different from 4.4.1(b); consider revising for clarity.,"b) Fraudulent Activity or Tampering: Fraudulent actions, intentional
misrepresentation, or tampering with METI data or systems. (d) Any attempt to compromise the proper functioning of METI and the Source
Ledger.",Adds or clarifies key definitions impacting scope or interpretation.
4.4.3 Termination and Reapplication,Steve Francis,Suggestion,The ending of 4.4.3 probably should not refer to 'suspension or'; revise wording for precision.,Reapplication will be permitted provided that the Custodian demonstrates it has remedied all issues that led to the suspension or termination.,Adds or clarifies key definitions impacting scope or interpretation.
5.1.1. Entry Procedures,Robert Parkhurst,Question,How long does review take? Can you provide a time frame?,"Prospective members must submit an application, which METI Administrators review to assess eligibility based on the Terms of Use and compliance standards.",Material operational or compliance change affecting implementation.
5.2 Data Submission Protocols,Steve Francis,Suggestion,AgGateway has completed a seven-year project to create the ADAPT framework. Consider being a compliant subset or integrating alignment. See: https://adaptframework.org/,,Material operational or compliance change affecting implementation.
5.7 Prohibition of Disruptive Practices,Steve Francis,Suggestion,5.7 (and potentially other behavioral requirements) may be better placed in the Terms of Use instead of the Rulebook.,"5.7.1. Data Submission Integrity
All data must be submitted in good faith for legitimate purposes and should not disrupt the orderly conduct of the platform.
5.7.2. Prohibited Practices
Submission of data with the intent to mislead or overload METI’s systems or those of participants is forbidden. Reckless or intentional practices that could disrupt METI’s operations or clearing services are prohibited.",Material operational or compliance change affecting implementation.
6.2.2. Access to Records,Bob Lawrence,Suggestion,"(c) Confidentiality: Records related to EACs must be protected to ensure Confidential or Proprietary Information and personal information are not publicly disclosed, except in an aggregated and anonymized manner or when legally mandated.(c) Confidentiality: Records related to EACs must be protected to ensure Confidential or Proprietary Information and personal information are not publicly disclosed, except in an aggregated and anonymized manner or when legally mandated",,"Strengthens data security, integrity, or operational resilience."
6.3. Audit Trail Components,Robert Parkhurst,Question,How long must the records be maintained?,"['Custodians and Market Participants must maintain comprehensive records of all data submissions, transactions, and modifications, ensuring these records align with affiliated data on METI.']",Material operational or compliance change affecting implementation.
